,Splited_Hashtags,Count
9,#nigeria,3396
2,#nigeriaat62,3313
18,#independenceday,2617
58,#nigeriaindependence,2184
90,#october1st,1195
19,#independenceday2022,1060
4,#independence,795
20,#happyindependenceday,785
261,#happyindependencenigeria,683
766,#lagosrally,526
59,#nigeriaindependenceday,393
270,#4millionmarch4peterobi,304
361,#nigerianindependenceday,296
40,#bbnaija,283
1,#peterobiforpresident,269
313,#independencedaynigeria,261
62,#happynewmonth,240
8,#obidatti2023,219
10,#happyindependencedaynigeria,203
280,#obidientlagosrally,194
22,#october,188
32,#obidients,180
6,#nigeriadecides2023,170
304,#happyindependence,169
63,#endsars,168
138,#newmonth,168
39,#naija,162
117,#nigerians,142
44,#obidatti023,130
240,#4millionmarchforobidatti,129
782,#truefreedom,126
43,#peterobi4president,122
264,#nigeria62,120
402,#lekkitollgate,108
115,#freedom,107
102,#lagos,102
382,#fifa23,93
49,#obidientlyyusful,88
93,#africa,86
47,#anikulapothemovie,85
771,#kaduna,85
141,#nigerianindependence,85
272,#happy,79
624,#godblessnigeria,74
11,#peterobi,72
23,#1stoctober,68
95,#lekki,68
412,#obidatti,67
375,#tinubu,65
42,#peterobiforpresident2023,64
1382,#lekkirally,62
345,#october1,62
1084,#ikeja,61
1303,#hackers,61
104,#abuja,60
253,#happyindependenceday2022,60
183,#october2022,60
130,#obidient,58
271,#62,58
201,#lagos4obidatti,57
1488,#lagosrally4obidatti2023,56
116,#nigerian,53
179,#peterobi4president2023,53
156,#newnigeria,50
7,#votewisely,49
88,#peace,49
50,#obidientmovement,45
622,#realestate,44
170,#love,42
1240,#atikualltheway,41
230,#trending,41
519,#celebration,40
144,#doggy,40
46,#takebacknaija,39
68,#oct1,39
1093,#arstot,39
158,#9ja,38
303,#pvc,38
374,#news,38
317,#abujatwittercommunity,38
510,#naijaat62,38
409,#independent,36
210,#googledoodle,35
1389,#kucoin,34
373,#davido,33
31,#labourparty,31
308,#graphicdesign,30
984,#2023elections,30
372,#wizkid,30
1931,#lagos4millionmarch,30
529,#proudlynigerian,29
101,#explorepage,29
